file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,911,0.000,364,0.200,75.419361,8.986479e-05,0.000000
avalanche_weights.csv,911,0.100,364,0.200,68.436811,1.205823e-06,0.000000
avalanche_weights.csv,911,0.200,364,0.200,61.454260,3.579340e-09,0.000000
avalanche_weights.csv,911,0.300,364,0.200,54.471709,1.315813e-12,0.000000
avalanche_weights.csv,911,0.000,364,0.250,91.347599,3.758929e-02,0.000000
avalanche_weights.csv,911,0.100,364,0.250,82.932049,2.665999e-03,0.000000
avalanche_weights.csv,911,0.200,364,0.250,74.516498,5.519645e-05,0.000000
avalanche_weights.csv,911,0.300,364,0.250,66.100948,2.084381e-07,0.000000
avalanche_weights.csv,911,0.000,364,0.300,109.485517,6.522256e-01,0.000000
avalanche_weights.csv,911,0.100,364,0.300,99.455956,2.010652e-01,0.000000
avalanche_weights.csv,911,0.200,364,0.300,89.426394,2.248850e-02,0.000000
avalanche_weights.csv,911,0.300,364,0.300,79.396833,6.214467e-04,0.000000
avalanche_weights.csv,911,0.000,364,0.330,122.766799,1.000000e+00,0.000000
avalanche_weights.csv,911,0.100,364,0.330,111.568933,7.521220e-01,0.000000
avalanche_weights.csv,911,0.200,364,0.330,100.371068,2.323973e-01,0.000000
avalanche_weights.csv,911,0.300,364,0.330,89.173203,2.093859e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,9.257774,5.498759e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.531996,4.063085e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.806219,2.713156e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,7.080442,1.587082e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.698330,8.054660e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.868497,6.666419e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.038664,5.065177e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.208831,3.442618e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.028928,9.539448e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.106035,8.616606e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.183142,7.226423e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.260249,5.503633e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.797721,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.777949,9.919858e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.758177,9.320793e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.738404,8.113782e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,19.592304,4.267883e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,17.753074,2.249672e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,15.913843,8.875654e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,14.074613,2.339529e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,22.838887,8.074741e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,20.714998,5.655281e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,18.591110,3.105906e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,16.467221,1.217515e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,25.831766,9.910455e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,23.448589,8.631075e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,21.065413,6.086850e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,18.682236,3.206310e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,28.409772,1.000000e+00,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,25.808795,9.905400e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,23.207818,8.421194e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.330,20.606841,5.521135e-01,0.000000
injective_weights.csv,50,0.000,20,0.200,4.444377,6.904591e-01,0.000000
injective_weights.csv,50,0.100,20,0.200,4.119939,5.917029e-01,0.000000
injective_weights.csv,50,0.200,20,0.200,3.795501,4.848193e-01,0.000000
injective_weights.csv,50,0.300,20,0.200,3.471064,3.750607e-01,0.000000
injective_weights.csv,50,0.000,20,0.250,5.621541,9.372849e-01,0.000000
injective_weights.csv,50,0.100,20,0.250,5.219387,8.747898e-01,0.000000
injective_weights.csv,50,0.200,20,0.250,4.817233,7.892451e-01,0.000000
injective_weights.csv,50,0.300,20,0.250,4.415079,6.819817e-01,0.000000
injective_weights.csv,50,0.000,20,0.300,6.723729,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.300,6.251356,9.908451e-01,0.000000
injective_weights.csv,50,0.200,20,0.300,5.778983,9.555664e-01,0.000000
injective_weights.csv,50,0.300,20,0.300,5.306611,8.903045e-01,0.000000
injective_weights.csv,50,0.000,20,0.330,6.723729,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.330,6.251356,9.908451e-01,0.000000
injective_weights.csv,50,0.200,20,0.330,5.778983,9.555664e-01,0.000000
injective_weights.csv,50,0.300,20,0.330,5.306611,8.903045e-01,0.000000
near_weights.csv,285,0.000,114,0.200,25.841752,1.485592e-01,0.000000
near_weights.csv,285,0.100,114,0.200,23.457577,4.953030e-02,0.000000
near_weights.csv,285,0.200,114,0.200,21.073402,1.075986e-02,0.000000
near_weights.csv,285,0.300,114,0.200,18.689227,1.292733e-03,0.000000
near_weights.csv,285,0.000,114,0.250,30.001232,4.912201e-01,0.000000
near_weights.csv,285,0.100,114,0.250,27.241109,2.425833e-01,0.000000
near_weights.csv,285,0.200,114,0.250,24.480985,8.303334e-02,0.000000
near_weights.csv,285,0.300,114,0.250,21.720862,1.713025e-02,0.000000
near_weights.csv,285,0.000,114,0.300,36.952042,9.901422e-01,0.000000
near_weights.csv,285,0.100,114,0.300,33.576838,8.234728e-01,0.000000
near_weights.csv,285,0.200,114,0.300,30.201634,5.110920e-01,0.000000
near_weights.csv,285,0.300,114,0.300,26.826429,2.119692e-01,0.000000
near_weights.csv,285,0.000,114,0.330,39.804298,1.000000e+00,0.000000
near_weights.csv,285,0.100,114,0.330,36.183868,9.700720e-01,0.000000
near_weights.csv,285,0.200,114,0.330,32.563438,7.389316e-01,0.000000
near_weights.csv,285,0.300,114,0.330,28.943009,3.887885e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.200,8.014651,3.083475e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.200,7.413186,2.068137e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.200,6.811721,1.247696e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.200,6.210256,6.565397e-02,0.000000
osmosis_weights.csv,100,0.000,40,0.250,10.056285,7.004975e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.250,9.330657,5.641937e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.250,8.605028,4.206143e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.250,7.879400,2.841193e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.300,12.001412,9.519218e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.300,11.161270,8.685765e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.300,10.321129,7.459956e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.300,9.480988,5.934717e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.330,13.814028,1.000000e+00,0.000000
osmosis_weights.csv,100,0.100,40,0.330,12.872625,9.945189e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.330,11.931222,9.465575e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.330,10.989820,8.465550e-01,0.000000
sei_weights.csv,40,0.000,16,0.200,3.695829,7.851801e-01,0.000000
sei_weights.csv,40,0.100,16,0.200,3.486246,7.216544e-01,0.000000
sei_weights.csv,40,0.200,16,0.200,3.276663,6.503107e-01,0.000000
sei_weights.csv,40,0.300,16,0.200,3.067080,5.722523e-01,0.000000
sei_weights.csv,40,0.000,16,0.250,4.466964,9.455289e-01,0.000000
sei_weights.csv,40,0.100,16,0.250,4.220268,9.067809e-01,0.000000
sei_weights.csv,40,0.200,16,0.250,3.973571,8.563260e-01,0.000000
sei_weights.csv,40,0.300,16,0.250,3.726875,7.938826e-01,0.000000
sei_weights.csv,40,0.000,16,0.300,5.153957,9.979212e-01,0.104350
sei_weights.csv,40,0.100,16,0.300,4.878561,9.859683e-01,0.077030
sei_weights.csv,40,0.200,16,0.300,4.603166,9.621286e-01,0.057370
sei_weights.csv,40,0.300,16,0.300,4.327770,9.250742e-01,0.043660
sei_weights.csv,40,0.000,16,0.330,5.788767,1.000000e+00,0.287770
sei_weights.csv,40,0.100,16,0.330,5.489890,1.000000e+00,0.231430
sei_weights.csv,40,0.200,16,0.330,5.191013,9.987002e-01,0.183470
sei_weights.csv,40,0.300,16,0.330,4.892137,9.868245e-01,0.142870
solana_weights.csv,955,0.000,382,0.200,80.751874,1.288594e-04,0.000000
solana_weights.csv,955,0.100,382,0.200,73.036687,1.434061e-06,0.000000
solana_weights.csv,955,0.200,382,0.200,65.321499,3.004102e-09,0.000000
solana_weights.csv,955,0.300,382,0.200,57.606312,6.055333e-13,0.000000
solana_weights.csv,955,0.000,382,0.250,96.041506,3.342484e-02,0.000000
solana_weights.csv,955,0.100,382,0.250,86.917355,1.902884e-03,0.000000
solana_weights.csv,955,0.200,382,0.250,77.793205,2.709887e-05,0.000000
solana_weights.csv,955,0.300,382,0.250,68.669054,5.556466e-08,0.000000
solana_weights.csv,955,0.000,382,0.300,116.580923,7.185144e-01,0.000000
solana_weights.csv,955,0.100,382,0.300,105.602831,2.252517e-01,0.000000
solana_weights.csv,955,0.200,382,0.300,94.624739,2.308080e-02,0.000000
solana_weights.csv,955,0.300,382,0.300,83.646646,4.977007e-04,0.000000
solana_weights.csv,955,0.000,382,0.330,127.761046,1.000000e+00,0.000000
solana_weights.csv,955,0.100,382,0.330,115.784941,6.811685e-01,0.000000
solana_weights.csv,955,0.200,382,0.330,103.808837,1.691464e-01,0.000000
solana_weights.csv,955,0.300,382,0.330,91.832732,1.031047e-02,0.000000
sui_weights.csv,122,0.000,48,0.200,9.892800,2.845816e-01,0.000000
sui_weights.csv,122,0.100,48,0.200,9.296963,1.996986e-01,0.000000
sui_weights.csv,122,0.200,48,0.200,8.701125,1.299158e-01,0.000000
sui_weights.csv,122,0.300,48,0.200,8.105288,7.705758e-02,0.000000
sui_weights.csv,122,0.000,48,0.250,12.220800,6.773521e-01,0.000000
sui_weights.csv,122,0.100,48,0.250,11.510195,5.577847e-01,0.000000
sui_weights.csv,122,0.200,48,0.250,10.799591,4.339913e-01,0.000000
sui_weights.csv,122,0.300,48,0.250,10.088986,3.152476e-01,0.000000
sui_weights.csv,122,0.000,48,0.300,14.467200,9.473057e-01,0.002930
sui_weights.csv,122,0.100,48,0.300,13.649988,8.738373e-01,0.001630
sui_weights.csv,122,0.200,48,0.300,12.832776,7.706163e-01,0.000830
sui_weights.csv,122,0.300,48,0.300,12.015565,6.437653e-01,0.000340
sui_weights.csv,122,0.000,48,0.330,15.926400,9.998866e-01,0.054580
sui_weights.csv,122,0.100,48,0.330,15.041957,9.798658e-01,0.030060
sui_weights.csv,122,0.200,48,0.330,14.157513,9.231826e-01,0.017200
sui_weights.csv,122,0.300,48,0.330,13.273070,8.296530e-01,0.008400
tezos_weights.csv,245,0.000,98,0.200,22.573008,2.221326e-01,0.000000
tezos_weights.csv,245,0.100,98,0.200,20.395707,8.535660e-02,0.000000
tezos_weights.csv,245,0.200,98,0.200,18.218406,2.194012e-02,0.000000
tezos_weights.csv,245,0.300,98,0.200,16.041105,3.202669e-03,0.000000
tezos_weights.csv,245,0.000,98,0.250,28.793956,8.406137e-01,0.000000
tezos_weights.csv,245,0.100,98,0.250,26.034560,5.694071e-01,0.000000
tezos_weights.csv,245,0.200,98,0.250,23.275165,2.827610e-01,0.000000
tezos_weights.csv,245,0.300,98,0.250,20.515769,9.082005e-02,0.000000
tezos_weights.csv,245,0.000,98,0.300,34.013693,1.000000e+00,0.000000
tezos_weights.csv,245,0.100,98,0.300,30.772323,9.618739e-01,0.000000
tezos_weights.csv,245,0.200,98,0.300,27.530954,7.266255e-01,0.000000
tezos_weights.csv,245,0.300,98,0.300,24.289585,3.817308e-01,0.000000
tezos_weights.csv,245,0.000,98,0.330,34.013693,1.000000e+00,0.000000
tezos_weights.csv,245,0.100,98,0.330,30.772323,9.618739e-01,0.000000
tezos_weights.csv,245,0.200,98,0.330,27.530954,7.266255e-01,0.000000
tezos_weights.csv,245,0.300,98,0.330,24.289585,3.817308e-01,0.000000
