file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk,chain,date,baseline
avalanche_weights.csv,922,0.0,368,0.2,77.346592,0.0001431612,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.1,368,0.2,70.250545,2.179458e-06,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.2,368,0.2,63.154497,7.613809e-09,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.3,368,0.2,56.05845,3.489987e-12,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.0,368,0.25,93.497729,0.04815526,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.1,368,0.25,84.94622,0.003760264,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.2,368,0.25,76.394712,8.764268e-05,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.3,368,0.25,67.843204,3.859941e-07,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.0,368,0.3,111.842752,0.7052717,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.1,368,0.3,101.656308,0.2351631,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.2,368,0.3,91.469863,0.02882042,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.3,368,0.3,81.283419,0.0008911011,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.0,368,0.33,122.080232,0.9990614,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.1,368,0.33,110.989779,0.6639846,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.2,368,0.33,99.899327,0.1773588,0.0,avalanche,2025-09-05,uniform
avalanche_weights.csv,922,0.3,368,0.33,88.808874,0.01353216,0.0,avalanche,2025-09-05,uniform
celestia_weights.csv,100,0.0,40,0.2,9.4822,0.5937061,0.0,celestia,2025-09-05,uniform
celestia_weights.csv,100,0.1,40,0.2,8.73398,0.4460399,0.0,celestia,2025-09-05,uniform
