date,chain,alpha,bound_reduction_%,mu_reduction_%
2025-09-05,avalanche,0.2,100.0,27.52
2025-09-05,celestia,0.2,69.58,23.67
2025-09-05,cosmoshub,0.2,94.88,28.14
2025-09-05,injective,0.2,45.95,21.86
2025-09-05,near,0.2,99.63,27.66
2025-09-05,osmosis,0.2,71.19,21.8
2025-09-05,sei,0.2,26.09,17.43
2025-09-05,solana,0.2,100.0,28.56
2025-09-05,sui,0.2,72.7,17.96
2025-09-05,tezos,0.2,99.0,29.06
2025-09-05,avalanche,0.25,100.0,27.44
2025-09-05,celestia,0.25,55.59,23.39
2025-09-05,cosmoshub,0.25,85.76,27.88
2025-09-05,injective,0.25,28.28,21.32
2025-09-05,near,0.25,95.24,27.47
2025-09-05,osmosis,0.25,50.84,21.1
2025-09-05,sei,0.25,14.62,17.03
2025-09-05,solana,0.25,100.0,28.41
2025-09-05,sui,0.25,53.19,17.34
2025-09-05,tezos,0.25,91.04,28.89
2025-09-05,avalanche,0.3,99.87,27.32
2025-09-05,celestia,0.3,29.71,22.61
2025-09-05,cosmoshub,0.3,69.04,27.66
2025-09-05,injective,0.3,15.02,20.61
2025-09-05,near,0.3,88.94,27.36
2025-09-05,osmosis,0.3,28.87,20.53
2025-09-05,sei,0.3,4.95,16.68
2025-09-05,solana,0.3,99.95,28.18
2025-09-05,sui,0.3,31.84,16.83
2025-09-05,tezos,0.3,64.9,28.74
2025-09-05,avalanche,0.33,98.65,27.25
2025-09-05,celestia,0.33,17.96,22.22
2025-09-05,cosmoshub,0.33,46.17,27.45
2025-09-05,injective,0.33,4.68,19.99
2025-09-05,near,0.33,62.31,27.14
2025-09-05,osmosis,0.33,17.69,20.27
2025-09-05,sei,0.33,4.95,16.68
2025-09-05,solana,0.33,98.69,28.01
2025-09-05,sui,0.33,16.89,16.54
2025-09-05,tezos,0.33,64.9,28.74
2025-09-06,avalanche,0.2,100.0,27.53
2025-09-06,celestia,0.2,69.58,23.67
2025-09-06,cosmoshub,0.2,94.88,28.14
2025-09-06,injective,0.2,46.19,21.82
2025-09-06,near,0.2,99.66,27.64
2025-09-06,osmosis,0.2,71.93,21.68
2025-09-06,sei,0.2,26.08,17.43
2025-09-06,solana,0.2,100.0,28.56
2025-09-06,sui,0.2,72.65,17.98
2025-09-06,tezos,0.2,98.99,29.06
2025-09-06,avalanche,0.25,100.0,27.43
2025-09-06,celestia,0.25,55.58,23.39
2025-09-06,cosmoshub,0.25,85.74,27.88
2025-09-06,injective,0.25,28.52,21.29
2025-09-06,near,0.25,95.56,27.45
2025-09-06,osmosis,0.25,52.05,20.97
2025-09-06,sei,0.25,14.61,17.03
2025-09-06,solana,0.25,100.0,28.41
2025-09-06,sui,0.25,53.11,17.35
2025-09-06,tezos,0.25,91.01,28.89
2025-09-06,avalanche,0.3,99.89,27.31
2025-09-06,celestia,0.3,29.7,22.61
2025-09-06,cosmoshub,0.3,68.99,27.66
2025-09-06,injective,0.3,15.25,20.58
2025-09-06,near,0.3,89.65,27.34
2025-09-06,osmosis,0.3,30.63,20.4
2025-09-06,sei,0.3,4.94,16.69
2025-09-06,solana,0.3,99.95,28.18
2025-09-06,sui,0.3,31.77,16.84
2025-09-06,tezos,0.3,64.7,28.74
2025-09-06,avalanche,0.33,98.77,27.24
2025-09-06,celestia,0.33,17.95,22.22
2025-09-06,cosmoshub,0.33,46.11,27.45
2025-09-06,injective,0.33,4.82,19.97
2025-09-06,near,0.33,64.27,27.12
2025-09-06,osmosis,0.33,19.65,20.13
2025-09-06,sei,0.33,4.94,16.69
2025-09-06,solana,0.33,98.69,28.01
2025-09-06,sui,0.33,16.85,16.55
2025-09-06,tezos,0.33,64.7,28.74
2025-09-07,avalanche,0.2,100.0,27.52
2025-09-07,celestia,0.2,69.58,23.67
2025-09-07,cosmoshub,0.2,94.87,28.14
2025-09-07,injective,0.2,46.18,21.82
2025-09-07,near,0.2,99.66,27.64
2025-09-07,osmosis,0.2,71.96,21.67
2025-09-07,sei,0.2,26.08,17.43
2025-09-07,solana,0.2,100.0,28.54
2025-09-07,sui,0.2,72.63,17.98
2025-09-07,tezos,0.2,99.0,29.06
2025-09-07,avalanche,0.25,100.0,27.41
2025-09-07,celestia,0.25,55.59,23.39
2025-09-07,cosmoshub,0.25,85.67,27.88
2025-09-07,injective,0.25,28.5,21.3
2025-09-07,near,0.25,95.61,27.45
2025-09-07,osmosis,0.25,52.08,20.97
2025-09-07,sei,0.25,14.61,17.03
2025-09-07,solana,0.25,100.0,28.39
2025-09-07,sui,0.25,53.08,17.36
2025-09-07,tezos,0.25,91.05,28.89
2025-09-07,avalanche,0.3,99.89,27.29
2025-09-07,celestia,0.3,29.72,22.61
2025-09-07,cosmoshub,0.3,68.86,27.66
2025-09-07,injective,0.3,15.23,20.59
2025-09-07,near,0.3,89.76,27.34
2025-09-07,osmosis,0.3,30.67,20.39
2025-09-07,sei,0.3,4.94,16.69
2025-09-07,solana,0.3,99.94,28.16
2025-09-07,sui,0.3,31.74,16.84
2025-09-07,tezos,0.3,64.72,28.75
2025-09-07,avalanche,0.33,97.64,27.19
2025-09-07,celestia,0.33,17.97,22.22
2025-09-07,cosmoshub,0.33,45.95,27.45
2025-09-07,injective,0.33,4.81,19.97
2025-09-07,near,0.33,64.61,27.11
2025-09-07,osmosis,0.33,19.69,20.13
2025-09-07,sei,0.33,4.94,16.69
2025-09-07,solana,0.33,99.26,28.03
2025-09-07,sui,0.33,16.81,16.55
2025-09-07,tezos,0.33,64.72,28.75
2025-09-08,avalanche,0.2,100.0,27.64
2025-09-08,celestia,0.2,69.59,23.67
2025-09-08,cosmoshub,0.2,94.85,28.14
2025-09-08,injective,0.2,46.19,21.82
2025-09-08,near,0.2,99.66,27.64
2025-09-08,osmosis,0.2,71.85,21.69
2025-09-08,sei,0.2,25.93,17.49
2025-09-08,solana,0.2,100.0,28.54
2025-09-08,sui,0.2,72.61,17.99
2025-09-08,tezos,0.2,98.98,29.07
2025-09-08,avalanche,0.25,100.0,27.54
2025-09-08,celestia,0.25,55.59,23.39
2025-09-08,cosmoshub,0.25,85.61,27.88
2025-09-08,injective,0.25,28.51,21.29
2025-09-08,near,0.25,95.6,27.45
2025-09-08,osmosis,0.25,51.92,20.99
2025-09-08,sei,0.25,14.42,17.09
2025-09-08,solana,0.25,100.0,28.39
2025-09-08,sui,0.25,53.06,17.36
2025-09-08,tezos,0.25,90.96,28.89
2025-09-08,avalanche,0.3,99.83,27.42
2025-09-08,celestia,0.3,29.72,22.61
2025-09-08,cosmoshub,0.3,68.77,27.66
2025-09-08,injective,0.3,15.24,20.58
2025-09-08,near,0.3,89.74,27.34
2025-09-08,osmosis,0.3,30.43,20.41
2025-09-08,sei,0.3,4.73,16.74
2025-09-08,solana,0.3,99.95,28.16
2025-09-08,sui,0.3,31.7,16.85
2025-09-08,tezos,0.3,64.48,28.75
2025-09-08,avalanche,0.33,98.02,27.35
2025-09-08,celestia,0.33,17.97,22.22
2025-09-08,cosmoshub,0.33,45.86,27.45
2025-09-08,injective,0.33,4.82,19.97
2025-09-08,near,0.33,64.55,27.11
2025-09-08,osmosis,0.33,19.4,20.15
2025-09-08,sei,0.33,4.73,16.74
2025-09-08,solana,0.33,99.28,28.03
2025-09-08,sui,0.33,16.77,16.55
2025-09-08,tezos,0.33,64.48,28.75
2025-09-09,avalanche,0.2,100.0,27.55
2025-09-09,celestia,0.2,69.58,23.67
2025-09-09,cosmoshub,0.2,94.74,28.15
2025-09-09,injective,0.2,46.03,21.84
2025-09-09,near,0.2,99.66,27.64
2025-09-09,osmosis,0.2,71.68,21.72
2025-09-09,sei,0.2,25.92,17.49
2025-09-09,solana,0.2,100.0,28.52
2025-09-09,sui,0.2,72.61,17.99
2025-09-09,tezos,0.2,99.04,29.07
2025-09-09,avalanche,0.25,100.0,27.41
2025-09-09,celestia,0.25,55.6,23.39
2025-09-09,cosmoshub,0.25,85.27,27.89
2025-09-09,injective,0.25,28.31,21.32
2025-09-09,near,0.25,95.59,27.45
2025-09-09,osmosis,0.25,51.63,21.02
2025-09-09,sei,0.25,14.4,17.1
2025-09-09,solana,0.25,100.0,28.31
2025-09-09,sui,0.25,53.06,17.36
2025-09-09,tezos,0.25,91.28,28.9
2025-09-09,avalanche,0.3,99.87,27.28
2025-09-09,celestia,0.3,29.74,22.61
2025-09-09,cosmoshub,0.3,68.06,27.67
2025-09-09,injective,0.3,15.01,20.61
2025-09-09,near,0.3,89.72,27.34
2025-09-09,osmosis,0.3,29.96,20.45
2025-09-09,sei,0.3,4.69,16.76
2025-09-09,solana,0.3,99.94,28.13
2025-09-09,sui,0.3,31.7,16.85
2025-09-09,tezos,0.3,65.15,28.75
2025-09-09,avalanche,0.33,98.68,27.21
2025-09-09,celestia,0.33,17.98,22.22
2025-09-09,cosmoshub,0.33,44.92,27.46
2025-09-09,injective,0.33,4.65,20.0
2025-09-09,near,0.33,64.54,27.11
2025-09-09,osmosis,0.33,18.87,20.19
2025-09-09,sei,0.33,4.69,16.76
2025-09-09,solana,0.33,98.49,27.96
2025-09-09,sui,0.33,16.77,16.55
2025-09-09,tezos,0.33,65.15,28.75
2025-09-10,avalanche,0.2,100.0,27.53
2025-09-10,celestia,0.2,69.48,23.68
2025-09-10,cosmoshub,0.2,94.69,28.15
2025-09-10,injective,0.2,46.03,21.84
2025-09-10,near,0.2,99.65,27.64
2025-09-10,osmosis,0.2,71.67,21.72
2025-09-10,sei,0.2,25.9,17.5
2025-09-10,solana,0.2,100.0,28.52
2025-09-10,sui,0.2,72.61,17.99
2025-09-10,tezos,0.2,98.81,29.03
2025-09-10,avalanche,0.25,100.0,27.38
2025-09-10,celestia,0.25,55.45,23.4
2025-09-10,cosmoshub,0.25,85.17,27.89
2025-09-10,injective,0.25,28.32,21.32
2025-09-10,near,0.25,95.55,27.45
2025-09-10,osmosis,0.25,51.6,21.02
2025-09-10,sei,0.25,14.39,17.1
2025-09-10,solana,0.25,100.0,28.31
2025-09-10,sui,0.25,53.06,17.36
2025-09-10,tezos,0.25,90.18,28.85
2025-09-10,avalanche,0.3,99.86,27.25
2025-09-10,celestia,0.3,29.95,22.6
2025-09-10,cosmoshub,0.3,67.88,27.67
2025-09-10,injective,0.3,15.03,20.61
2025-09-10,near,0.3,89.64,27.34
2025-09-10,osmosis,0.3,29.91,20.45
2025-09-10,sei,0.3,4.68,16.76
2025-09-10,solana,0.3,99.94,28.13
2025-09-10,sui,0.3,31.67,16.85
2025-09-10,tezos,0.3,63.22,28.7
2025-09-10,avalanche,0.33,98.55,27.18
2025-09-10,celestia,0.33,18.16,22.21
2025-09-10,cosmoshub,0.33,44.74,27.47
2025-09-10,injective,0.33,4.64,20.0
2025-09-10,near,0.33,64.3,27.12
2025-09-10,osmosis,0.33,18.81,20.19
2025-09-10,sei,0.33,4.68,16.76
2025-09-10,solana,0.33,99.24,28.0
2025-09-10,sui,0.33,16.68,16.56
2025-09-10,tezos,0.33,63.22,28.7
2025-09-11,avalanche,0.2,100.0,27.51
2025-09-11,celestia,0.2,69.48,23.68
2025-09-11,cosmoshub,0.2,94.71,28.15
2025-09-11,injective,0.2,46.04,21.84
2025-09-11,near,0.2,99.66,27.64
2025-09-11,osmosis,0.2,71.64,21.72
2025-09-11,sei,0.2,25.85,17.52
2025-09-11,solana,0.2,100.0,28.51
2025-09-11,sui,0.2,72.65,17.98
2025-09-11,tezos,0.2,98.74,29.02
2025-09-11,avalanche,0.25,100.0,27.36
2025-09-11,celestia,0.25,55.46,23.4
2025-09-11,cosmoshub,0.25,85.23,27.89
2025-09-11,injective,0.25,28.32,21.32
2025-09-11,near,0.25,95.6,27.45
2025-09-11,osmosis,0.25,51.58,21.02
2025-09-11,sei,0.25,14.32,17.12
2025-09-11,solana,0.25,100.0,28.31
2025-09-11,sui,0.25,53.08,17.36
2025-09-11,tezos,0.25,89.84,28.84
2025-09-11,avalanche,0.3,99.85,27.22
2025-09-11,celestia,0.3,29.97,22.6
2025-09-11,cosmoshub,0.3,68.03,27.67
2025-09-11,injective,0.3,15.02,20.61
2025-09-11,near,0.3,89.74,27.34
2025-09-11,osmosis,0.3,29.87,20.46
2025-09-11,sei,0.3,4.61,16.78
2025-09-11,solana,0.3,99.95,28.12
2025-09-11,sui,0.3,31.7,16.85
2025-09-11,tezos,0.3,62.5,28.69
2025-09-11,avalanche,0.33,98.51,27.15
2025-09-11,celestia,0.33,18.17,22.21
2025-09-11,cosmoshub,0.33,44.94,27.46
2025-09-11,injective,0.33,4.64,20.0
2025-09-11,near,0.33,64.69,27.11
2025-09-11,osmosis,0.33,18.77,20.2
2025-09-11,sei,0.33,4.61,16.78
2025-09-11,solana,0.33,98.68,27.95
2025-09-11,sui,0.33,16.72,16.56
2025-09-11,tezos,0.33,62.5,28.69
2025-09-12,avalanche,0.2,100.0,27.51
2025-09-12,celestia,0.2,69.42,23.69
2025-09-12,cosmoshub,0.2,94.81,28.15
2025-09-12,injective,0.2,46.17,21.82
2025-09-12,near,0.2,99.66,27.64
2025-09-12,osmosis,0.2,71.65,21.72
2025-09-12,sei,0.2,25.86,17.52
2025-09-12,solana,0.2,100.0,28.51
2025-09-12,sui,0.2,72.89,18.08
2025-09-12,tezos,0.2,98.74,29.01
2025-09-12,avalanche,0.25,100.0,27.36
2025-09-12,celestia,0.25,55.4,23.4
2025-09-12,cosmoshub,0.25,85.43,27.89
2025-09-12,injective,0.25,28.49,21.3
2025-09-12,near,0.25,95.63,27.44
2025-09-12,osmosis,0.25,51.62,21.02
2025-09-12,sei,0.25,14.33,17.12
2025-09-12,solana,0.25,100.0,28.3
2025-09-12,sui,0.25,53.38,17.46
2025-09-12,tezos,0.25,89.85,28.83
2025-09-12,avalanche,0.3,99.78,27.22
2025-09-12,celestia,0.3,29.88,22.61
2025-09-12,cosmoshub,0.3,68.39,27.67
2025-09-12,injective,0.3,15.22,20.59
2025-09-12,near,0.3,89.8,27.34
2025-09-12,osmosis,0.3,29.93,20.45
2025-09-12,sei,0.3,4.61,16.78
2025-09-12,solana,0.3,99.95,28.12
2025-09-12,sui,0.3,32.01,16.95
2025-09-12,tezos,0.3,62.54,28.68
2025-09-12,avalanche,0.33,97.91,27.15
2025-09-12,celestia,0.33,18.08,22.22
2025-09-12,cosmoshub,0.33,45.38,27.46
2025-09-12,injective,0.33,4.79,19.97
2025-09-12,near,0.33,64.82,27.11
2025-09-12,osmosis,0.33,18.84,20.19
2025-09-12,sei,0.33,4.61,16.78
2025-09-12,solana,0.33,98.67,27.95
2025-09-12,sui,0.33,17.03,16.66
2025-09-12,tezos,0.33,62.54,28.68
2025-09-13,avalanche,0.2,100.0,27.52
2025-09-13,celestia,0.2,69.46,23.68
2025-09-13,cosmoshub,0.2,94.85,28.14
2025-09-13,injective,0.2,46.1,21.83
2025-09-13,near,0.2,99.65,27.64
2025-09-13,sei,0.2,25.86,17.51
2025-09-13,solana,0.2,100.0,28.59
2025-09-13,sui,0.2,72.9,18.07
2025-09-13,tezos,0.2,98.68,29.01
2025-09-13,avalanche,0.25,100.0,27.36
2025-09-13,celestia,0.25,55.44,23.4
2025-09-13,cosmoshub,0.25,85.56,27.88
2025-09-13,injective,0.25,28.43,21.3
2025-09-13,near,0.25,95.56,27.45
2025-09-13,sei,0.25,14.33,17.12
2025-09-13,solana,0.25,100.0,28.39
2025-09-13,sui,0.25,53.41,17.45
2025-09-13,tezos,0.25,89.6,28.83
2025-09-13,avalanche,0.3,99.78,27.23
2025-09-13,celestia,0.3,29.92,22.6
2025-09-13,cosmoshub,0.3,68.7,27.66
2025-09-13,injective,0.3,15.16,20.59
2025-09-13,near,0.3,89.66,27.34
2025-09-13,sei,0.3,4.63,16.78
2025-09-13,solana,0.3,99.93,28.15
2025-09-13,sui,0.3,32.04,16.95
2025-09-13,tezos,0.3,62.11,28.67
2025-09-13,avalanche,0.33,98.06,27.14
2025-09-13,celestia,0.33,18.12,22.21
2025-09-13,cosmoshub,0.33,45.84,27.45
2025-09-13,injective,0.33,4.75,19.98
2025-09-13,near,0.33,64.47,27.11
2025-09-13,sei,0.33,4.63,16.78
2025-09-13,solana,0.33,99.08,28.03
2025-09-13,sui,0.33,17.07,16.66
2025-09-13,tezos,0.33,62.11,28.67
2025-09-14,avalanche,0.2,100.0,27.54
2025-09-14,celestia,0.2,69.46,23.68
2025-09-14,cosmoshub,0.2,94.85,28.14
