date,chain,alpha,mu_reduction_%,baseline
2025-09-05,avalanche,0.25,27.44,uniform
2025-09-05,celestia,0.25,23.39,uniform
2025-09-05,cosmoshub,0.25,27.88,uniform
2025-09-05,injective,0.25,21.32,uniform
2025-09-05,near,0.25,27.47,uniform
2025-09-05,osmosis,0.25,21.1,uniform
2025-09-05,sei,0.25,17.03,uniform
2025-09-05,solana,0.25,28.41,uniform
2025-09-05,sui,0.25,17.34,uniform
2025-09-05,tezos,0.25,28.89,uniform
2025-09-06,avalanche,0.25,27.43,uniform
2025-09-06,celestia,0.25,23.39,uniform
2025-09-06,cosmoshub,0.25,27.88,uniform
2025-09-06,injective,0.25,21.29,uniform
2025-09-06,near,0.25,27.45,uniform
2025-09-06,osmosis,0.25,20.97,uniform
2025-09-06,sei,0.25,17.03,uniform
2025-09-06,solana,0.25,28.41,uniform
2025-09-06,sui,0.25,17.35,uniform
2025-09-06,tezos,0.25,28.89,uniform
2025-09-07,avalanche,0.25,27.41,uniform
2025-09-07,celestia,0.25,23.39,uniform
2025-09-07,cosmoshub,0.25,27.88,uniform
2025-09-07,injective,0.25,21.3,uniform
2025-09-07,near,0.25,27.45,uniform
2025-09-07,osmosis,0.25,20.97,uniform
2025-09-07,sei,0.25,17.03,uniform
2025-09-07,solana,0.25,28.39,uniform
2025-09-07,sui,0.25,17.36,uniform
2025-09-07,tezos,0.25,28.89,uniform
2025-09-08,avalanche,0.25,27.54,uniform
2025-09-08,celestia,0.25,23.39,uniform
2025-09-08,cosmoshub,0.25,27.88,uniform
2025-09-08,injective,0.25,21.29,uniform
2025-09-08,near,0.25,27.45,uniform
2025-09-08,osmosis,0.25,20.99,uniform
2025-09-08,sei,0.25,17.09,uniform
2025-09-08,solana,0.25,28.39,uniform
2025-09-08,sui,0.25,17.36,uniform
2025-09-08,tezos,0.25,28.89,uniform
2025-09-09,avalanche,0.25,27.41,uniform
2025-09-09,celestia,0.25,23.39,uniform
2025-09-09,cosmoshub,0.25,27.89,uniform
2025-09-09,injective,0.25,21.32,uniform
2025-09-09,near,0.25,27.45,uniform
2025-09-09,osmosis,0.25,21.02,uniform
2025-09-09,sei,0.25,17.1,uniform
2025-09-09,solana,0.25,28.31,uniform
2025-09-09,sui,0.25,17.36,uniform
2025-09-09,tezos,0.25,28.9,uniform
2025-09-10,avalanche,0.25,27.38,uniform
2025-09-10,celestia,0.25,23.4,uniform
2025-09-10,cosmoshub,0.25,27.89,uniform
2025-09-10,injective,0.25,21.32,uniform
2025-09-10,near,0.25,27.45,uniform
2025-09-10,osmosis,0.25,21.02,uniform
2025-09-10,sei,0.25,17.1,uniform
2025-09-10,solana,0.25,28.31,uniform
2025-09-10,sui,0.25,17.36,uniform
2025-09-10,tezos,0.25,28.85,uniform
2025-09-11,avalanche,0.25,27.36,uniform
2025-09-11,celestia,0.25,23.4,uniform
2025-09-11,cosmoshub,0.25,27.89,uniform
2025-09-11,injective,0.25,21.32,uniform
2025-09-11,near,0.25,27.45,uniform
2025-09-11,osmosis,0.25,21.02,uniform
2025-09-11,sei,0.25,17.12,uniform
2025-09-11,solana,0.25,28.31,uniform
2025-09-11,sui,0.25,17.36,uniform
2025-09-11,tezos,0.25,28.84,uniform
2025-09-12,avalanche,0.25,27.36,uniform
2025-09-12,celestia,0.25,23.4,uniform
2025-09-12,cosmoshub,0.25,27.89,uniform
2025-09-12,injective,0.25,21.3,uniform
2025-09-12,near,0.25,27.44,uniform
2025-09-12,osmosis,0.25,21.02,uniform
2025-09-12,sei,0.25,17.12,uniform
2025-09-12,solana,0.25,28.3,uniform
2025-09-12,sui,0.25,17.46,uniform
2025-09-12,tezos,0.25,28.83,uniform
2025-09-13,avalanche,0.25,27.36,uniform
2025-09-13,celestia,0.25,23.4,uniform
2025-09-13,cosmoshub,0.25,27.88,uniform
2025-09-13,injective,0.25,21.3,uniform
2025-09-13,near,0.25,27.45,uniform
2025-09-13,sei,0.25,17.12,uniform
2025-09-13,solana,0.25,28.39,uniform
2025-09-13,sui,0.25,17.45,uniform
2025-09-13,tezos,0.25,28.83,uniform
