chain,baseline,alpha,mu(0)_median,mu(0.3)_median,mu_reduction_%_median,delta_orders_log10_bound_median
avalanche,uniform,0.25,90.86980550000001,65.940312,27.434298293947602,4.829938047692583
celestia,uniform,0.25,10.7243975,8.273377,22.854621903002016,0.35622471192530736
cosmoshub,uniform,0.25,22.7290245,16.390317000000003,27.888163436138658,0.8339707033957008
injective,uniform,0.25,5.583308000000001,4.3883155,21.40294785815149,0.1408095479997902
near,uniform,0.25,33.085518500000006,23.999862999999998,27.46112472137926,1.358350678955182
osmosis,uniform,0.25,10.281,8.0367,21.829588561423996,0.3741544417694481
sei,uniform,0.25,4.4949864999999996,3.7464905,16.65179639582899,0.07466338203891444
solana,uniform,0.25,96.7064215,69.153446,28.491360834812816,5.686072890183246
sui,uniform,0.25,12.24,10.111747,17.38768790849674,0.33038467934595667
tezos,uniform,0.25,30.799019,21.918624,28.833369660247943,0.9884253826471406
