network,alpha,mu_0_avg,mu_03_avg,pct_mu_red,bound_0_avg,bound_03_avg,orders_drop,risk_0_avg,risk_03_avg
avalanche,0.25,90.92513149999998,65.9316315,27.487999838636462,0.06554026576923076,1.1989445557692309e-06,4.737709098174221,0.0,0.0
celestia,0.25,10.631204999999998,8.180305,23.053830680529607,0.7922061269230769,0.3400392288461539,0.3673091743181857,0.0,0.0
cosmoshub,0.25,22.209389730769228,15.994265076923078,27.984220769630696,0.7352599846153846,0.099439605,0.8688815403048351,0.0,0.0
injective,0.25,5.573568942307692,4.381498365384615,21.387921980731974,0.930646148076923,0.6720027403846154,0.14141354006782744,0.0,0.0
near,0.25,33.99517444230769,24.63024976923077,27.547805906893903,0.6059125653846155,0.025620200480769226,1.3738274351452011,0.0,0.0
osmosis,0.25,10.346818647058825,8.111008352941175,21.60867383863154,0.7487301411764706,0.3267882431372549,0.36005889308421496,0.0,0.0
sei,0.25,4.516715230769231,3.761700692307693,16.716009309556426,0.950380398076923,0.8025773384615384,0.0734105774051724,0.0,0.0
solana,0.25,96.7351613076923,69.20382890384616,28.460522556297086,0.04503891384615384,1.4571528480769232e-07,5.490082799080487,0.0,0.0
sui,0.25,12.264478846153848,10.124336903846153,17.449921591889293,0.679910903846154,0.3169498269230769,0.3314614871313237,0.0,0.0
tezos,0.25,31.30782361538462,22.273969403846152,28.854941571534997,0.8627096634615383,0.09442478480769231,0.9607786589720317,0.0,0.0
