alias,role,tracked_entity_mode,tracked_entity_label,baseline_comparison_mode,attack_profile,entry_kind,k,committee_size,lambda_init_ppm,tracked_vs_baseline_full_pct,tracked_vs_baseline_full_pct_std,tracked_vs_baseline_1ep_pct,tracked_vs_baseline_1ep_pct_std,tracked_vs_baseline_3ep_pct,tracked_vs_baseline_3ep_pct_std,tracked_vs_baseline_5ep_pct,tracked_vs_baseline_5ep_pct_std,post_lambda_peak_ppm,post_lambda_peak_ppm_std,post_lambda_half_life_draws,post_lambda_half_life_draws_std,chernoff_bound_reduction_ge_1_3_pct,chernoff_bound_reduction_ge_1_3_pct_std,chernoff_bound_reduction_ge_1_2_pct,chernoff_bound_reduction_ge_1_2_pct_std,n_seeds,seeds_used,note,artifact_dir,final_table_csv
v5_pub_default_burst,main realistic,attacker,attacker,reduction,burst,,6,9,0,5.020,0.011,26.925,0.000,24.563,0.048,21.424,0.031,412775,0,47,0,2.280,0.008,13.317,0.026,3,"1,2,3","Primary realistic security case, default controller bounds.",cosmos/artifacts/overnight_v5/pub_default_burst,cosmos/artifacts/overnight_v5/pub_default_burst/aggregated_final_table.csv
v5_pub_tuned_burst,main realistic tuned,attacker,attacker,reduction,burst,,6,9,0,5.942,0.008,31.821,0.000,29.067,0.032,25.342,0.020,487825,0,46,0,3.125,0.006,15.278,0.017,3,"1,2,3",Primary realistic case with stronger early response via lambda_max=0.65.,cosmos/artifacts/overnight_v5/pub_tuned_burst,cosmos/artifacts/overnight_v5/pub_tuned_burst/aggregated_final_table.csv
v5_pub_alphadown02_lammax065_burst,headline realistic tuned + slow decay,attacker,attacker,reduction,burst,,6,9,0,7.983,0.000,31.821,0.000,29.200,0.000,26.269,0.000,487825,0,73,0,3.858,0.000,20.890,0.000,3,"1,2,3",Headline security case: lambda_max=0.65 + alpha_down=0.02. 3-seed aggregated; seed-to-seed variance negligible for dissertation claim.,cosmos/artifacts/overnight_v5/pub_alphadown02_lammax065_burst,cosmos/artifacts/overnight_v5/pub_alphadown02_lammax065_burst/aggregated_final_table.csv
v5_pub_default_trickle,companion robustness,attacker,attacker,reduction,trickle,,6,9,0,2.931,0.005,25.041,0.006,21.405,0.056,16.659,0.025,356817,72,47,0,2.410,0.005,5.744,0.007,3,"1,2,3",Companion robustness case under slower injection.,cosmos/artifacts/overnight_v5/pub_default_trickle,cosmos/artifacts/overnight_v5/pub_default_trickle/aggregated_final_table.csv
v5_pub_tuned_trickle,companion robustness tuned,attacker,attacker,reduction,trickle,,6,9,0,3.460,0.000,29.590,0.000,25.259,0.000,19.671,0.000,421643,0,47,0,2.890,0.000,6.676,0.000,3,"1,2,3",Companion robustness case with stronger tuning.,cosmos/artifacts/overnight_v5/pub_tuned_trickle,cosmos/artifacts/overnight_v5/pub_tuned_trickle/aggregated_final_table.csv
v5_pub_alphadown02_lammax065_trickle,headline companion tuned + slow decay,attacker,attacker,reduction,trickle,,6,9,0,5.268,0.009,29.714,0.007,25.814,0.069,21.170,0.032,422849,88,73,0,3.501,0.007,11.940,0.016,3,"1,2,3",Headline companion case: lambda_max=0.65 + alpha_down=0.02; direction preserved under trickle injection.,cosmos/artifacts/overnight_v5/pub_alphadown02_lammax065_trickle,cosmos/artifacts/overnight_v5/pub_alphadown02_lammax065_trickle/aggregated_final_table.csv
v5_pub_beta020_burst,beta-sweep low,attacker,attacker,reduction,burst,,6,9,0,5.080,0.011,29.155,0.000,26.353,0.047,22.488,0.030,423500,0,41,1,7.922,0.017,15.510,0.026,3,"1,2,3","Beta=0.20 sensitivity point; softer attacker, larger Chernoff suppression headroom.",cosmos/artifacts/overnight_v5/pub_beta020_burst,cosmos/artifacts/overnight_v5/pub_beta020_burst/aggregated_final_table.csv
v5_pub_beta025_burst,beta-sweep mid-low,attacker,attacker,reduction,burst,,6,9,0,5.130,0.006,28.332,0.000,25.842,0.028,22.301,0.017,419375,0,44,0,6.213,0.008,15.007,0.016,3,"1,2,3",Beta=0.25 interpolation point.,cosmos/artifacts/overnight_v5/pub_beta025_burst,cosmos/artifacts/overnight_v5/pub_beta025_burst/aggregated_final_table.csv
v5_pub_beta040_burst,beta-sweep mid-high,attacker,attacker,reduction,burst,,6,9,0,4.862,0.006,25.932,0.000,23.580,0.028,20.617,0.017,412500,0,49,0,0.176,0.001,11.180,0.014,3,"1,2,3",Beta=0.40 sensitivity: Chernoff >=1/3 reduction collapses near saturation floor; >=1/2 remains informative.,cosmos/artifacts/overnight_v5/pub_beta040_burst,cosmos/artifacts/overnight_v5/pub_beta040_burst/aggregated_final_table.csv
v5_pub_beta050_burst,beta-sweep high,attacker,attacker,reduction,burst,,6,9,0,4.462,0.011,24.249,0.000,21.816,0.048,18.995,0.030,412500,0,50,0,0.000,0.000,6.640,0.019,3,"1,2,3",Beta=0.50 sensitivity: majority-capture bound reduction falls substantially; use as limitation/sensitivity evidence.,cosmos/artifacts/overnight_v5/pub_beta050_burst,cosmos/artifacts/overnight_v5/pub_beta050_burst/aggregated_final_table.csv
v5_fairness_default_burst,fairness default,entrant,honest newcomer,gap,burst,honest_newcomer,1,9,0,4.380,0.000,28.718,0.000,24.250,0.000,20.209,0.000,384676,0,40,0,9.198,0.000,14.670,0.000,3,"1,2,3","Honest-newcomer baseline: fairness trade-off evidence, not a security headline.",cosmos/artifacts/overnight_v5/fairness_default_burst,cosmos/artifacts/overnight_v5/fairness_default_burst/aggregated_final_table.csv
v5_fairness_tuned_burst,fairness tuned,entrant,honest newcomer,gap,burst,honest_newcomer,1,9,0,5.177,0.000,33.939,0.000,28.659,0.000,23.883,0.000,454617,0,40,0,10.635,0.000,16.436,0.000,3,"1,2,3",Honest-newcomer tuned case: stronger early response but larger baseline-gap fairness cost.,cosmos/artifacts/overnight_v5/fairness_tuned_burst,cosmos/artifacts/overnight_v5/fairness_tuned_burst/aggregated_final_table.csv
v5_fairness_default_trickle,fairness robustness default,entrant,honest newcomer,gap,trickle,honest_newcomer,1,9,0,3.926,0.110,29.103,0.885,24.213,0.790,19.496,0.572,384075,5432,35,1,8.207,0.208,12.999,0.282,3,"4,5,6","Robustness of newcomer-fairness reading under trickle injection; genuine replication on fresh seeds 4,5,6 (2026-07-23).",cosmos/artifacts/overnight_v5/fairness_default_trickle_s456,cosmos/artifacts/overnight_v5/fairness_default_trickle_s456/aggregated_final_table.csv
v5_fairness_tuned_trickle,fairness robustness tuned,entrant,honest newcomer,gap,trickle,honest_newcomer,1,9,0,4.714,0.199,34.853,1.026,28.896,1.033,23.353,0.890,456255,7453,34,1,9.617,0.361,14.712,0.452,3,"4,5,6","Robustness case: tuned trickle preserves the same larger baseline-gap fairness cost; genuine replication on fresh seeds 4,5,6 (2026-07-23).",cosmos/artifacts/overnight_v5/fairness_tuned_trickle_s456,cosmos/artifacts/overnight_v5/fairness_tuned_trickle_s456/aggregated_final_table.csv
v5_agefarming_default_burst,age-farming limitation,attacker,attacker,reduction,burst,age_farming,6,9,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,,,0.000,0.000,-0.001,0.000,3,"1,2,3",Negative result: genesis-age attacker identities make freshness signal blind; controller produces zero suppression.,cosmos/artifacts/overnight_v5/agefarming_default_burst,cosmos/artifacts/overnight_v5/agefarming_default_burst/aggregated_final_table.csv
v5_agefarming_tuned_burst,age-farming limitation,attacker,attacker,reduction,burst,age_farming,6,9,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,,,0.000,0.000,-0.001,0.000,3,"1,2,3",Negative result: tuned lambda_max cannot help when no freshness signal moves.,cosmos/artifacts/overnight_v5/agefarming_tuned_burst,cosmos/artifacts/overnight_v5/agefarming_tuned_burst/aggregated_final_table.csv
v5_ablation_freshness_only_burst,signal ablation,attacker,attacker,reduction,burst,,6,9,0,10.629,0.015,42.399,0.000,38.882,0.043,34.987,0.026,650000,0,73,0,6.545,0.014,26.099,0.031,3,"1,2,3","Signal ablation w_F=1 (lambda_max=0.65, alpha_down=0.02): freshness alone reaches the lambda ceiling and produces the largest measured mitigation in the curated package; canonical multi-signal weights (0.75, 0.10, 0.15) dilute this single-signal headline in the burst regime where Gini and split-pressure are silent.",cosmos/artifacts/overnight_v5/ablation_freshness_only_burst,cosmos/artifacts/overnight_v5/ablation_freshness_only_burst/aggregated_final_table.csv
v5_ablation_gini_only_burst,signal ablation,attacker,attacker,reduction,burst,,6,9,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,,,0.000,0.000,-0.001,0.000,3,"1,2,3",Signal ablation w_G=1: stake-Gini does not drift enough across the pre-/post-attack boundary to fire the controller in this stake-stable validator panel; lambda_t never leaves zero across all three seeds.,cosmos/artifacts/overnight_v5/ablation_gini_only_burst,cosmos/artifacts/overnight_v5/ablation_gini_only_burst/aggregated_final_table.csv
v5_ablation_split_only_burst,signal ablation,attacker,attacker,reduction,burst,,6,9,0,0.023,0.002,0.142,0.003,0.127,0.002,0.111,0.005,2167,0,53,4,0.001,0.000,0.070,0.006,3,"1,2,3",Signal ablation w_S=1: Sybil-blind split-pressure barely moves under burst injection (peak lambda ~2k ppm); the reduction is statistically positive but materially negligible.,cosmos/artifacts/overnight_v5/ablation_split_only_burst,cosmos/artifacts/overnight_v5/ablation_split_only_burst/aggregated_final_table.csv
